Total Population,Female Population,Male Population,Employment in Industry(%),Employment in Agriculture(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
745826546.0,359724278.0,386102269.0,19.38876535714286,54.867122142857134,7.818178571428571,218262273406.969,9.07017779413735,-915429446.960367,166.487772077772,44.59958342035659,43.851836372075,1983,India
729169466.0,351626946.0,377542519.0,19.38876535714286,54.867122142857134,7.818178571428571,200715145363.148,-0.645683117202822,-658475535.660501,158.765561913971,44.59958342035659,43.0251332032812,1982,India
712869298.0,343719452.0,369149846.0,19.38876535714286,54.867122142857134,7.818178571428571,193490610029.789,-4.76461321729708,44795842.9457746,152.415036395634,44.59958342035659,41.4191411626831,1981,India
696828385.0,335953058.0,360875327.0,19.38876535714286,54.867122142857134,7.818178571428571,186325345086.661,9.47487711422961,437107236.975471,142.139732152272,44.59958342035659,39.3833507196107,1980,India
681248383.0,328422054.0,352826329.0,19.38876535714286,54.867122142857134,7.818178571428571,152991653793.77,-6.39902427854263,189440839.978208,136.089864304309,44.59958342035659,38.7025816069271,1979,India
666267760.0,321198151.0,345069608.0,19.38876535714286,54.867122142857134,7.818178571428571,137300295313.3,4.59653020460979,-190100168.165533,136.168978069718,44.59958342035659,37.2177019408411,1978,India
651685628.0,314189303.0,337496325.0,19.38876535714286,54.867122142857134,7.818178571428571,121487322475.912,4.04683671915376,-272116788.321168,126.396833781334,44.59958342035659,38.2239786590275,1977,India
637451448.0,307373867.0,330077580.0,19.38876535714286,54.867122142857134,7.818178571428571,102717164466.397,5.09411851287362,-260675967.465849,124.158475517339,44.59958342035659,37.8503354821663,1976,India
623524219.0,300723268.0,322800952.0,19.38876535714286,54.867122142857134,7.818178571428571,98472796456.884,4.79709961089733,-294681859.153628,114.48151944199,44.59958342035659,36.9354603977898,1975,India
609721951.0,294137889.0,315584063.0,19.38876535714286,54.867122142857134,7.818178571428571,99525899116.054,-9.39765468490562,-364862831.636491,103.835854845252,44.59958342035659,36.4674567926255,1974,India
